"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"POLITY","M1","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",1.22662322095743,1.17754198762076,0.30007143659411,250,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","v2x_execorr",0.564958117180159,0.902116593830796,0.53172842759198,254,FALSE,FALSE
"POLITY","M3","v2x_execorr","","v2x_execorr",0.0302870868070495,0.240605904960409,0.89993142711269,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",1.21199295603186,1.16172588881184,0.297851804275103,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.238054139764357,1.08725481517303,0.827998271644835,100,FALSE,FALSE
"POLITY","M2","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.863435931062877,0.612714463762304,0.167857723044073,100,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",3.82048621796507,1.99824851327066,0.0643438979316005,100,FALSE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",0.24400053523535,0.884485586923952,0.782892759303085,254,FALSE,FALSE
"POLITY","M4","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.345863287030471,0.28057780959964,0.218927814296928,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",1.566082057976,1.15941502387576,0.178078838892125,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","v2x_pubcorr",0.887444063487244,0.828782206817801,0.286845620067683,249,FALSE,FALSE
"POLITY","M1","v2x_pubcorr","","v2x_pubcorr",0.107894453870219,0.254717913087577,0.672778851876026,249,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:v2x_pubcorr","","v2x_pubcorr",0.753072789876077,1.12688766637111,0.505496563830406,249,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","v2x_pubcorr",0.93683278652515,0.81810018677935,0.25327173576259,254,FALSE,FALSE
"POLITY","M3","v2x_pubcorr","","v2x_pubcorr",0.161327741621841,0.250823182488916,0.520700758021416,254,FALSE,FALSE
